城市ID,市级城市
1,北京市,
2,上海市,
3,天津市,
4,重庆市,
98,哈尔滨市,
99,齐齐哈尔市,
100,鹤 岗 市,
101,伊 春 市,
102,牡丹江市,
103,佳木斯市,
104,七台河市,
105,黑 河 市,
106,绥 化 市,
108,长春市,
109,吉林市,
110,四平市,
111,辽源市,
112,通化市,
113,白山市,
114,松原市,
115,白城市,
117,沈阳市,
118,大连市,
119,鞍山市,
120,抚顺市,
121,本溪市,
122,丹东市,
123,锦州市,
124,营口市,
125,阜新市,
126,辽阳市,
127,盘锦市,
128,铁岭市,
129,朝阳市,
130,葫芦岛市,
131,南京市,
132,无锡市,
133,徐州市,
134,常州市,
135,苏州市,
136,南通市,
137,连云港市,
138,淮安市,
139,盐城市,
140,扬州市,
141,镇江市,
142,泰州市,
143,宿迁市,
144,济南市,
145,青岛市,
146,淄博市,
147,枣庄市,
148,东营市,
149,烟台市,
150,潍坊市,
151,济宁市,
152,泰安市,
153,威海市,
154,日照市,
155,莱芜市,
156,临沂市,
157,德州市,
158,聊城市,
159,滨州市,
160,菏泽市,
161,合肥市,
162,芜湖市,
163,蚌埠市,
164,淮南市,
165,马鞍山市,
166,淮北市,
167,铜陵市,
168,安庆市,
169,黄山市,
170,滁州市,
171,阜阳市,
172,宿州市,
173,巢湖市,
174,六安市,
175,亳州市,
176,池州市,
177,宣城市,
178,石家庄市,
179,唐山市,
180,秦皇岛市,
181,邯郸市,
182,邢台市,
183,保定市,
184,张家口市,
185,承德市,
186,沧州市,
187,廊坊市,
188,衡水市,
189,郑州市,
190,开封市,
191,洛阳市,
192,平顶山市,
193,安阳市,
194,鹤壁市,
195,新乡市,
196,焦作市,
197,濮阳市,
198,许昌市,
199,漯河市,
200,三门峡市,
201,南阳市,
202,商丘市,
203,信阳市,
204,周口市,
205,驻马店市,
206,济源市,
207,武汉市,
208,黄石市,
209,十堰市,
210,荆州市,
211,宜昌市,
212,襄樊市,
213,鄂州市,
214,荆门市,
215,孝感市,
216,黄冈市,
217,咸宁市,
218,随州市,
219,仙桃市,
220,天门市,
221,潜江市,
223,长沙市,
224,株洲市,
225,湘潭市,
226,衡阳市,
227,邵阳市,
228,岳阳市,
229,常德市,
230,张家界市,
231,益阳市,
232,郴州市,
233,永州市,
234,怀化市,
235,娄底市,
237,南昌市,
238,景德镇市,
239,萍乡市,
240,九江市,
241,新余市,
242,鹰潭市,
243,赣州市,
244,吉安市,
245,宜春市,
246,抚州市,
247,上饶市,
248,西安市,
249,铜川市,
250,宝鸡市,
251,咸阳市,
252,渭南市,
253,延安市,
254,汉中市,
255,榆林市,
256,安康市,
257,商洛市,
258,太原市,
259,大同市,
260,阳泉市,
261,长治市,
262,晋城市,
263,朔州市,
264,晋中市,
265,运城市,
266,忻州市,
267,临汾市,
268,吕梁市,
269,成都市,
270,自贡市,
271,攀枝花市,
272,泸州市,
273,德阳市,
274,绵阳市,
275,广元市,
276,遂宁市,
277,内江市,
278,乐山市,
279,南充市,
280,眉山市,
281,宜宾市,
282,广安市,
283,达州市,
284,雅安市,
285,巴中市,
286,资阳市,
290,西宁市,
298,海口市,
299,三亚市,
300,五指山市,
301,琼海市,
302,儋州市,
303,文昌市,
304,万宁市,
305,东方市,
316,广州市,
317,深圳市,
318,珠海市,
319,汕头市,
320,韶关市,
321,佛山市,
322,江门市,
323,湛江市,
324,茂名市,
325,肇庆市,
326,惠州市,
327,梅州市,
328,汕尾市,
329,河源市,
330,阳江市,
331,清远市,
332,东莞市,
333,中山市,
334,潮州市,
335,揭阳市,
336,云浮市,
337,贵阳市,
338,六盘水市,
339,遵义市,
340,安顺市,
346,杭州市,
347,宁波市,
348,温州市,
349,嘉兴市,
350,湖州市,
351,绍兴市,
352,金华市,
353,衢州市,
354,舟山市,
355,台州市,
356,丽水市,
357,福州市,
358,厦门市,
359,莆田市,
360,三明市,
361,泉州市,
362,漳州市,
363,南平市,
364,龙岩市,
365,宁德市,
366,台北市,
367,高雄市,
368,基隆市,
369,台中市,
370,台南市,
371,新竹市,
372,嘉义市,
389,兰州市,
390,金昌市,
391,白银市,
392,天水市,
393,嘉峪关市,
394,武威市,
395,张掖市,
396,平凉市,
397,酒泉市,
398,庆阳市,
399,定西市,
400,陇南市,
403,昆明市,
404,曲靖市,
405,玉溪市,
406,保山市,
407,昭通市,
408,丽江市,
409,思茅市,
410,临沧市,
419,呼和浩特市,
420,包头市,
421,乌海市,
422,赤峰市,
423,通辽市,
424,鄂尔多斯市,
425,呼伦贝尔市,
426,巴彦淖尔市,
427,乌兰察布市,
431,银川市,
432,石嘴山市,
433,吴忠市,
434,固原市,
435,中卫市,
436,乌鲁木齐市,
437,克拉玛依市,
438,石河子市　,
439,阿拉尔市,
440,图木舒克市,
441,五家渠市,
442,吐鲁番市,
443,阿克苏市,
444,喀什市,
445,哈密市,
446,和田市,
447,阿图什市,
448,库尔勒市,
449,昌吉市　,
450,阜康市,
451,米泉市,
452,博乐市,
453,伊宁市,
454,奎屯市,
455,塔城市,
456,乌苏市,
457,阿勒泰市,
458,拉萨市,
465,南宁市,
466,柳州市,
467,桂林市,
468,梧州市,
469,北海市,
470,防城港市,
471,钦州市,
472,贵港市,
473,玉林市,
474,百色市,
475,贺州市,
476,河池市,
477,来宾市,
478,崇左市,
